task=human_or_worm model=ph folds=5 epochs=30 head_batch=512 feat_batch=128 lr=0.001 device=mps smoke=False
paper Table 1 (full fine-tune): 0.973 ± 0.001
  (we are running a frozen-backbone linear probe — expect lower numbers)
loaded 100,000 sequences, seq_len=200
pretokenized in 4.1s, ids shape=(100000, 201)
loading kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3...
[human_or_worm PH fold 2/5] epoch 8/30  train_loss=0.5859  val_loss=0.5846  val_acc=0.7068  (0.2s)
[human_or_worm PH fold 2/5] epoch 9/30  train_loss=0.5787  val_loss=0.5775  val_acc=0.7165  (0.2s)
[human_or_worm PH fold 2/5] epoch 10/30  train_loss=0.5720  val_loss=0.5710  val_acc=0.7241  (0.2s)
[human_or_worm PH fold 2/5] epoch 11/30  train_loss=0.5659  val_loss=0.5652  val_acc=0.7309  (0.2s)
[human_or_worm PH fold 2/5] epoch 12/30  train_loss=0.5603  val_loss=0.5599  val_acc=0.7381  (0.2s)
[human_or_worm PH fold 2/5] epoch 13/30  train_loss=0.5552  val_loss=0.5550  val_acc=0.7435  (0.2s)
[human_or_worm PH fold 2/5] epoch 14/30  train_loss=0.5506  val_loss=0.5505  val_acc=0.7486  (0.2s)
[human_or_worm PH fold 2/5] epoch 15/30  train_loss=0.5465  val_loss=0.5466  val_acc=0.7533  (0.2s)
[human_or_worm PH fold 2/5] epoch 16/30  train_loss=0.5427  val_loss=0.5430  val_acc=0.7580  (0.2s)
[human_or_worm PH fold 2/5] epoch 17/30  train_loss=0.5394  val_loss=0.5399  val_acc=0.7610  (0.2s)
[human_or_worm PH fold 2/5] epoch 18/30  train_loss=0.5364  val_loss=0.5370  val_acc=0.7653  (0.2s)
[human_or_worm PH fold 2/5] epoch 19/30  train_loss=0.5337  val_loss=0.5345  val_acc=0.7678  (0.2s)
[human_or_worm PH fold 2/5] epoch 20/30  train_loss=0.5314  val_loss=0.5323  val_acc=0.7696  (0.2s)
